ssid,bssid_oui,latitude,longitude,reports,first_seen,last_seen
Beep bob beep_5G,98:da:c4,28.5337,77.3767,37,2025-12-04 20:18:50.076357+00,2025-12-20 20:20:39.990285+00
AndroidWifi,00:13:10,37.4220,-122.0840,32,2025-12-15 13:42:30.163989+00,2026-02-07 11:56:40.377158+00
BEEPBOPBEEP_5G,60:32:b1,28.5336,77.3767,26,2025-12-29 09:37:19.127165+00,2026-04-17 16:49:42.552191+00
Infinity Rewards,10:82:3d,28.4953,77.4025,21,2025-12-06 10:11:49.110417+00,2025-12-10 19:10:40.706036+00
Beep bob beep,98:da:c4,28.5338,77.3768,21,2025-12-10 22:03:56.117962+00,2025-12-15 13:46:40.26605+00
Palayana,cc:d0:83,12.6663,99.9587,17,2025-12-22 06:47:24.207155+00,2025-12-25 02:21:49.659206+00
Palayana,f0:61:c0,12.6666,99.9571,16,2025-12-23 12:04:55.703141+00,2025-12-24 09:55:10.32664+00
HabidadeGuest,82:88:1f,28.5390,77.3653,16,2025-12-11 08:35:37.976954+00,2025-12-20 11:02:47.407117+00
Joyalukkas-Free-Wifi,70:4c:a5,28.6132,77.2364,11,2025-12-12 08:14:02.6514+00,2025-12-15 06:53:35.547591+00
Taj InnerCircle,30:cb:c7,28.4897,77.2851,10,2026-03-18 10:16:31.011097+00,2026-03-19 04:35:53.362825+00
GMR-Free-WIFI,44:1e:98,28.5550,77.0841,10,2025-12-25 15:28:29.121375+00,2026-04-25 06:51:31.517215+00
LordOfThePings,8e:6a:8d,37.3928,-122.0540,10,2025-12-22 08:35:20.891541+00,2026-01-16 09:47:47.513776+00
SocialGuest,58:61:63,28.5667,77.3208,8,2025-12-21 07:59:11.515791+00,2025-12-21 09:03:49.632963+00
Infinity Rewards,70:85:c4,28.4957,77.4029,7,2025-12-11 15:03:26.938378+00,2025-12-11 15:05:21.109064+00
GMR-Free-WIFI,4c:b1:cd,28.5551,77.0836,7,2026-04-25 06:17:27.703732+00,2026-04-25 06:34:55.058659+00
GMR-Free-WIFI,ec:58:ea,28.5546,77.0853,7,2025-12-21 18:55:25.989411+00,2026-03-01 08:26:22.064132+00
Starbucks India,ee:55:b8,27.6906,76.5958,7,2026-01-03 10:21:11.944698+00,2026-02-07 09:33:33.548204+00
